StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1C_1,Q2L_1,Q3I_1,Q4,Q5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"A conservative subnational group has been pushing for a tax cut policy to incentivize the construction of private on and offshore wind farms.


Pros:

- More cheap and renewable energy

- More clean energy jobs


Cons:

- Environmental damages (i.e. Bird deaths, possible habitat destruction/disruption)

- Noise pollution affecting local inhabitants and ecosystems

- Potential minor pollution during construction - How much do you support this policy based on the information above? (0 = Strongly opposed, 10 = Strongly in favor)","A liberal subnational group has been pushing for a tax cut policy to incentivize the construction of private on and offshore wind farms.

Pros:

- More cheap and renewable energy
- More clean energy jobs

Cons:

- Environmental damages (i.e. Bird deaths, possible habitat destruction/disruption)
- Noise pollution affecting local inhabitants and ecosystems
- Potential minor pollution during construction - How much do you support this policy based on the information given above? (0 = Strongly opposed, 10 = Strongly in favor)","Subnational legislators are considering a new tax cut policy to incentivize the construction of private on and offshore wind farms.

Pros:
- More cheap and renewable energy
- More clean energy jobs

Cons:
- Environmental damages (i.e. Bird deaths, possible habitat destruction/disruption)
- Noise pollution affecting local inhabitants and ecosystems
- Potential minor pollution during construction - How much do you support this policy based on the information above? (0 = Strongly opposed, 10 = Strongly in favor)",How do you politcally identify?,What year are you in college?
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID11""}"
2025-05-18 13:03:58,2025-05-18 13:04:23,IP Address,184.186.226.253,100,25,True,2025-05-18 13:04:23,R_5QYx8Aik2QJSPRn,,,,,34.4216,-119.7068,anonymous,EN,,8,,Liberal,3rd year
2025-05-18 13:24:08,2025-05-18 13:24:25,IP Address,172.91.227.217,100,17,True,2025-05-18 13:24:26,R_6DES4gwnZkizGnf,,,,,34.413,-118.4269,anonymous,EN,,,,Liberal,3rd year
2025-05-18 13:24:38,2025-05-18 13:25:28,IP Address,107.116.170.141,100,49,True,2025-05-18 13:25:29,R_1Du3Zo7yS14dA4p,,,,,33.7499,-117.9071,anonymous,EN,,5,,Liberal,3rd year
2025-05-18 14:19:31,2025-05-18 14:19:38,IP Address,184.189.220.193,100,6,True,2025-05-18 14:19:39,R_6M4N4mt7FXnMMMN,,,,,34.4275,-119.859,anonymous,EN,,,,Liberal,3rd year
2025-05-18 14:29:29,2025-05-18 14:30:28,IP Address,169.231.98.34,100,59,True,2025-05-18 14:30:29,R_5TAJ6ikUvT6kuGx,,,,,34.0337,-118.3509,anonymous,EN,4,,,Liberal,3rd year
2025-05-18 14:38:13,2025-05-18 14:39:01,IP Address,172.56.120.46,100,48,True,2025-05-18 14:39:02,R_7nKkRre4UjUbuX7,,,,,34.1867,-118.3878,anonymous,EN,,,10,Liberal,3rd year
2025-05-18 18:00:45,2025-05-18 18:18:31,IP Address,68.6.82.196,100,1065,True,2025-05-18 18:18:31,R_7G9ny0uDajpQC5P,,,,,34.445,-119.8046,anonymous,EN,,7,,Liberal,3rd year
2025-05-18 18:19:09,2025-05-18 18:19:41,IP Address,68.108.255.195,100,31,True,2025-05-18 18:19:41,R_7Dnp5dcldMtTe4r,,,,,34.4216,-119.7068,anonymous,EN,,,7,Liberal,3rd year
